"animal_id","bin_timestamp","record_type","X","Y","utmZone"
16176001,"2014-05-25 19:59:17","interpolated",340879.553213345,4620662.16140687,17
16176001,"2014-05-25 22:59:17","interpolated",341022.209453555,4620752.85490847,17
16176001,"2014-05-26 01:59:17","interpolated",341164.862024724,4620843.55116379,17
16176001,"2014-05-26 04:59:17","interpolated",341307.51092679,4620934.25017288,17
16176001,"2014-05-26 07:59:17","interpolated",341450.158203953,4621024.95323566,17
16176001,"2014-05-26 10:59:17","interpolated",341592.807380055,4621115.66259325,17
16176001,"2014-05-26 13:59:17","interpolated",341735.452886464,4621206.37470499,17
16176001,"2014-05-26 16:59:17","interpolated",341878.094723113,4621297.0895709,17
16176001,"2014-05-26 19:59:17","interpolated",342020.73288993,4621387.80719103,17
16176001,"2014-05-26 22:59:17","interpolated",342163.367386863,4621478.52756538,17
16176001,"2014-05-27 01:59:17","interpolated",342306.000889281,4621569.25239581,17
16176001,"2014-05-27 04:59:17","interpolated",342448.635658865,4621659.9831214,17
16176001,"2014-05-27 07:59:17","interpolated",342591.266757968,4621750.71660159,17
16176001,"2014-05-27 10:59:17","interpolated",342733.894186527,4621841.45283645,17
16176001,"2014-05-27 13:59:17","interpolated",342876.517944475,4621932.19182598,17
16176001,"2014-05-27 16:59:17","interpolated",343019.138031747,4622022.93357021,17
16176001,"2014-05-27 19:59:17","interpolated",343161.757757322,4622113.68017473,17
16176001,"2014-05-27 22:59:17","interpolated",343304.378115861,4622204.4322729,17
16176001,"2014-05-28 01:59:17","interpolated",343446.994803135,4622295.18712618,17
16176001,"2014-05-28 04:59:17","interpolated",343589.607819076,4622385.94473456,17
16176001,"2014-05-28 07:59:17","interpolated",343732.217163619,4622476.70509811,17
16176001,"2014-05-28 10:59:17","interpolated",343874.822836698,4622567.46821683,17
16176001,"2014-05-28 13:59:17","interpolated",344017.42878333,4622658.23660187,17
16176001,"2014-05-28 16:59:17","interpolated",344160.034726287,4622749.01007725,17
16176001,"2014-05-28 19:59:17","interpolated",344302.636997197,4622839.7863082,17
16176001,"2014-05-28 22:59:17","interpolated",344445.23559598,4622930.56529474,17
16176001,"2014-05-29 01:59:17","interpolated",344587.830522578,4623021.3470369,17
16176001,"2014-05-29 04:59:17","interpolated",344730.421776932,4623112.13153473,17
16176001,"2014-05-29 07:59:17","interpolated",344873.01394253,4623202.92170672,17
16176001,"2014-05-29 10:59:17","interpolated",345015.605465367,4623293.71656392,17
16176001,"2014-05-29 13:59:17","interpolated",345158.193315372,4623384.51417715,17
16176001,"2014-05-29 16:59:17","interpolated",345300.777492459,4623475.31454645,17
16176001,"2014-05-29 19:59:17","interpolated",345443.357996573,4623566.11767185,17
16176001,"2014-05-29 22:59:17","interpolated",345585.934827647,4623656.92355337,17
16176001,"2014-05-30 01:59:17","interpolated",345728.513210113,4623747.73551875,17
16176001,"2014-05-30 04:59:17","interpolated",345871.090308291,4623838.55176238,17
